station_id,station_name,connection_type,charger_id,status,effect,tariffDefinition,latitude,longitude
B8S7YSLRUBVUO,Agerbæk Børnehus,AC Type 2,AGB1,AVAILABLE,22.0,DKK 2.49 per kWh,55.6035,8.8113
B8S7YSLRUBVUO,Agerbæk Børnehus,AC Type 2,AGB2,AVAILABLE,22.0,DKK 2.49 per kWh,55.6035,8.8113
B8S7YSLRUBVUO,Agerbæk Børnehus,AC Type 2,AGB3,AVAILABLE,22.0,DKK 2.49 per kWh,55.6035,8.8113
B8S7YSLRUBVUO,Agerbæk Børnehus,AC Type 2,AGB4,AVAILABLE,22.0,DKK 2.49 per kWh,55.6035,8.8113
B9OXSNAF20Z5S,Agerbæk Torv,CCS,ABT1-A,AVAILABLE,180.0,"DKK 2,99 per kWh",55.6005,8.8022
B9OXSNAF20Z5S,Agerbæk Torv,CCS,ABT1-B,AVAILABLE,180.0,"DKK 2,99 per kWh",55.6005,8.8022
B9OXSNAF20Z5S,Agerbæk Torv,CCS,ABT2-A,AVAILABLE,180.0,"DKK 2,99 per kWh",55.6005,8.8022
B9OXSNAF20Z5S,Agerbæk Torv,CCS,ABT2-B,AVAILABLE,180.0,"DKK 2,99 per kWh",55.6005,8.8022
Alnasenter,Alna Senter,CCS,AL1-1,OCCUPIED,200.0,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CCS,AL1-3,AVAILABLE,200.0,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CCS,AL2-1,AVAILABLE,200.0,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CCS,AL2-3,AVAILABLE,200.0,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CCS,AL4-1,AVAILABLE,200.0,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CCS,AL4-3,AVAILABLE,200.0,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL10,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL11,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL12,OCCUPIED,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL13,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL14,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL15,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL16,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,AC Type 2,AL17,AVAILABLE,22.0,"kr 4,29 per kWh",59.9266,10.8493
Alnasenter,Alna Senter,CHAdeMO,AL1-2,AVAILABLE,62.5,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CHAdeMO,AL2-2,AVAILABLE,62.5,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
Alnasenter,Alna Senter,CHAdeMO,AL4-2,AVAILABLE,62.5,"kr 4,99/kWh. Over 80%: + kr 1/minutt",59.9266,10.8493
B8GEWDTNZ8LXC,Alstad Kro og Camping,CCS,ALC1-1,AVAILABLE,200.0,"kr 4,99 / kWh. Over 80%: + kr 1/minutt ",68.2723,13.9362
B8GEWDTNZ8LXC,Alstad Kro og Camping,CCS,ALC1-3,AVAILABLE,200.0,"kr 4,99 / kWh. Over 80%: + kr 1/minutt ",68.2723,13.9362
